Domain,Records,Status,Reason
1,1,INVALID,Bad domain syntax
2,1,INVALID,Bad domain syntax
3,1,INVALID,Bad domain syntax
4,1,INVALID,Bad domain syntax
5,1,INVALID,Bad domain syntax
6,1,INVALID,Bad domain syntax
7,1,INVALID,Bad domain syntax
8,1,INVALID,Bad domain syntax
9,1,INVALID,Bad domain syntax
10,1,INVALID,Bad domain syntax
11,1,INVALID,Bad domain syntax
12,1,INVALID,Bad domain syntax
13,1,INVALID,Bad domain syntax
14,1,INVALID,Bad domain syntax
15,1,INVALID,Bad domain syntax
16,1,INVALID,Bad domain syntax
17,1,INVALID,Bad domain syntax
18,1,INVALID,Bad domain syntax
19,1,INVALID,Bad domain syntax
20,1,INVALID,Bad domain syntax
21,1,INVALID,Bad domain syntax
22,1,INVALID,Bad domain syntax
23,1,INVALID,Bad domain syntax
24,1,INVALID,Bad domain syntax
25,1,INVALID,Bad domain syntax
26,1,INVALID,Bad domain syntax
27,1,INVALID,Bad domain syntax
28,1,INVALID,Bad domain syntax
29,1,INVALID,Bad domain syntax
30,1,INVALID,Bad domain syntax
31,1,INVALID,Bad domain syntax
32,1,INVALID,Bad domain syntax
33,1,INVALID,Bad domain syntax
34,1,INVALID,Bad domain syntax
35,1,INVALID,Bad domain syntax
36,1,INVALID,Bad domain syntax
37,1,INVALID,Bad domain syntax
38,1,INVALID,Bad domain syntax
39,1,INVALID,Bad domain syntax
40,1,INVALID,Bad domain syntax
41,1,INVALID,Bad domain syntax
42,1,INVALID,Bad domain syntax
43,1,INVALID,Bad domain syntax
44,1,INVALID,Bad domain syntax
45,1,INVALID,Bad domain syntax
46,1,INVALID,Bad domain syntax
47,1,INVALID,Bad domain syntax
48,1,INVALID,Bad domain syntax
49,1,INVALID,Bad domain syntax
50,1,INVALID,Bad domain syntax
51,1,INVALID,Bad domain syntax
52,1,INVALID,Bad domain syntax
53,1,INVALID,Bad domain syntax
54,1,INVALID,Bad domain syntax
55,1,INVALID,Bad domain syntax
56,1,INVALID,Bad domain syntax
57,1,INVALID,Bad domain syntax
58,1,INVALID,Bad domain syntax
59,1,INVALID,Bad domain syntax
60,1,INVALID,Bad domain syntax
61,1,INVALID,Bad domain syntax
62,1,INVALID,Bad domain syntax
63,1,INVALID,Bad domain syntax
64,1,INVALID,Bad domain syntax
65,1,INVALID,Bad domain syntax
66,1,INVALID,Bad domain syntax
67,1,INVALID,Bad domain syntax
68,1,INVALID,Bad domain syntax
69,1,INVALID,Bad domain syntax
70,1,INVALID,Bad domain syntax
71,1,INVALID,Bad domain syntax
72,1,INVALID,Bad domain syntax
73,1,INVALID,Bad domain syntax
74,1,INVALID,Bad domain syntax
75,1,INVALID,Bad domain syntax
76,1,INVALID,Bad domain syntax
77,1,INVALID,Bad domain syntax
78,1,INVALID,Bad domain syntax
79,1,INVALID,Bad domain syntax
80,1,INVALID,Bad domain syntax
81,1,INVALID,Bad domain syntax
82,1,INVALID,Bad domain syntax
83,1,INVALID,Bad domain syntax
84,1,INVALID,Bad domain syntax
85,1,INVALID,Bad domain syntax
86,1,INVALID,Bad domain syntax
87,1,INVALID,Bad domain syntax
88,1,INVALID,Bad domain syntax
89,1,INVALID,Bad domain syntax
90,1,INVALID,Bad domain syntax
91,1,INVALID,Bad domain syntax
92,1,INVALID,Bad domain syntax
93,1,INVALID,Bad domain syntax
94,1,INVALID,Bad domain syntax
95,1,INVALID,Bad domain syntax
96,1,INVALID,Bad domain syntax
97,1,INVALID,Bad domain syntax
98,1,INVALID,Bad domain syntax
99,1,INVALID,Bad domain syntax
100,1,INVALID,Bad domain syntax
101,1,INVALID,Bad domain syntax
102,1,INVALID,Bad domain syntax
